,imdb_rating,rotten_tomatoes_score,votos_log,presupuesto_log,awards_won,hours_watched_million,duracion_total,antiguedad,cluster,cluster_nombre
122,9.0,92,11.793749071823472,1.6094379124341005,0,142,145.0,5,2,Joya de Critica
123,6.0,55,12.58905353408535,3.258096538021482,0,622,140.0,15,3,Contenido Promedio
124,6.1,61,8.649623978596727,1.3609765531356006,0,4,132.0,5,3,Contenido Promedio
125,8.2,82,7.9854843567338225,1.0986122886681098,0,5,77.0,29,2,Joya de Critica
126,5.5,65,8.693328989123106,0.0,0,5,5940.0,15,1,Nicho Subestimado
127,5.6,47,11.803540731399451,0.0,0,180,720.0,0,1,Nicho Subestimado
128,7.2,75,8.736328721332908,2.0149030205422647,0,3,89.0,5,3,Contenido Promedio
129,8.0,75,8.112827478751374,2.33214389523559,1,4,88.0,2,2,Joya de Critica
130,7.9,78,8.160518247477505,3.580737295494233,0,3,139.0,12,2,Joya de Critica
131,6.4,62,11.295763985333569,0.0,0,48,2160.0,19,1,Nicho Subestimado
132,8.9,86,11.78671650218257,2.066862759472976,0,113,102.0,11,2,Joya de Critica
133,6.5,71,5.69035945432406,2.163323025660538,0,0,125.0,1,3,Contenido Promedio
134,6.3,62,5.327876168789581,2.302585092994046,0,0,140.0,14,3,Contenido Promedio
135,6.2,50,10.371770953036444,0.0,0,15,540.0,15,1,Nicho Subestimado
136,7.1,69,12.224703017375884,0.0,0,242,1620.0,1,1,Nicho Subestimado
137,7.7,86,11.01813721890186,3.157000421150113,2,94,122.0,2,2,Joya de Critica
138,7.9,85,8.885717651712119,2.0014800002101243,1,10,97.0,3,2,Joya de Critica
139,6.8,52,10.501004502080823,0.0,0,52,1440.0,1,1,Nicho Subestimado
140,3.6,22,11.043545641117444,2.272125885509337,0,122,121.0,16,3,Contenido Promedio
141,6.8,63,9.595534743241988,3.332204510175204,0,17,111.0,12,3,Contenido Promedio
142,6.7,65,9.043340831280013,0.0,0,15,450.0,3,1,Nicho Subestimado
143,6.2,56,11.461811101941928,2.174751721484161,0,188,70.0,1,3,Contenido Promedio
144,6.5,60,8.465899897028686,1.5040773967762742,0,6,90.0,9,3,Contenido Promedio
145,7.9,72,9.596282813595485,0.0,2,24,1080.0,0,2,Joya de Critica
146,6.9,61,9.271811694064285,0.0,0,21,720.0,0,1,Nicho Subestimado
147,4.7,57,5.6937321388027,3.49650756146648,0,0,111.0,0,3,Contenido Promedio
148,4.6,41,11.994931773007114,0.0,0,254,720.0,1,1,Nicho Subestimado
149,6.3,39,9.162619635764772,0.0,0,20,450.0,14,1,Nicho Subestimado
150,6.7,55,4.787491742782046,1.7578579175523736,0,0,73.0,11,3,Contenido Promedio
151,4.6,39,8.553139318189707,2.3978952727983707,0,4,114.0,25,3,Contenido Promedio
152,7.7,78,9.807527161390215,2.827313621929028,0,14,118.0,2,2,Joya de Critica
153,6.6,65,9.732224623098908,2.525728644308256,0,35,79.0,14,3,Contenido Promedio
154,7.8,74,8.165363632473982,2.1400661634962708,0,6,132.0,10,2,Joya de Critica
155,6.0,42,6.815639990074331,0.0,0,2,720.0,25,1,Nicho Subestimado
156,6.4,50,10.18369173513195,2.1162555148025524,0,43,125.0,9,3,Contenido Promedio
157,5.9,51,12.026216048225844,2.8449093838194077,0,385,88.0,11,3,Contenido Promedio
158,7.1,66,8.79920924224139,0.0,0,4,540.0,12,1,Nicho Subestimado
159,7.9,84,9.467537463415244,0.0,2,14,360.0,8,2,Joya de Critica
160,7.8,82,9.182455168486648,2.3978952727983707,0,7,142.0,0,2,Joya de Critica
161,5.8,55,9.015905747298426,0.0,0,2,720.0,0,1,Nicho Subestimado
162,7.8,77,10.583524163945976,0.0,1,81,450.0,8,2,Joya de Critica
163,6.1,71,8.223358899479258,2.631888840136646,0,5,81.0,4,3,Contenido Promedio
164,5.3,48,9.400382051785275,0.0,0,12,2160.0,6,1,Nicho Subestimado
165,5.6,58,9.780019638535885,3.054001181677967,0,35,143.0,35,3,Contenido Promedio
166,6.7,79,11.948667563962664,0.0,1,210,5940.0,18,1,Nicho Subestimado
167,6.2,47,11.0621595976319,3.730501128804756,0,48,113.0,16,3,Contenido Promedio
168,6.8,52,6.852242569051878,0.0,0,1,2160.0,16,1,Nicho Subestimado
169,6.0,59,8.6347984334905,0.0,0,10,900.0,6,1,Nicho Subestimado
170,5.8,58,9.9297886269555,0.0,0,29,720.0,7,1,Nicho Subestimado
171,7.6,88,8.40357646462927,0.0,5,10,720.0,43,2,Joya de Critica
172,7.3,73,11.726382250694895,3.958906591326997,0,263,133.0,0,3,Contenido Promedio
173,8.0,89,11.810530640181724,2.028148247292285,5,205,131.0,4,2,Joya de Critica
174,8.3,87,9.833547804331449,0.0,1,22,1080.0,11,2,Joya de Critica
175,5.7,68,10.07065316944088,0.0,0,55,360.0,2,1,Nicho Subestimado
176,6.0,56,8.37655086161377,3.242592351485517,0,5,128.0,11,3,Contenido Promedio
177,6.5,65,6.333279628139691,0.0,0,1,540.0,3,1,Nicho Subestimado
178,7.8,85,8.177515823846075,3.198673117550681,0,6,98.0,46,2,Joya de Critica
179,5.8,56,12.516816733578656,0.0,0,143,720.0,6,1,Nicho Subestimado
180,8.4,95,9.808407346285858,3.885679030088544,0,12,104.0,4,2,Joya de Critica
181,5.5,63,7.884199933676039,0.0,0,3,450.0,4,1,Nicho Subestimado
182,7.8,63,7.932721027481948,4.37197629882038,5,4,137.0,1,2,Joya de Critica
183,4.5,40,8.90571557879409,2.4069451083182885,0,10,89.0,1,3,Contenido Promedio
184,8.3,88,10.381335335804913,0.0,0,76,810.0,2,2,Joya de Critica
185,7.1,63,8.729397122692061,4.456670177669648,0,10,108.0,3,3,Contenido Promedio
186,7.6,73,11.260674884349712,2.1400661634962708,1,54,84.0,4,2,Joya de Critica
187,8.5,73,6.675823221634848,1.824549292051046,0,1,127.0,12,2,Joya de Critica
188,3.8,37,11.502511426621355,1.9315214116032136,0,89,143.0,0,3,Contenido Promedio
189,6.3,59,6.432940092739179,3.288401887516811,0,0,107.0,4,3,Contenido Promedio
190,5.6,62,11.622192340858271,1.667706820558076,0,103,114.0,9,3,Contenido Promedio
191,7.4,71,7.010311867307229,0.0,0,2,1800.0,4,1,Nicho Subestimado
192,5.8,69,11.286300861819363,2.617395832834079,0,28,93.0,12,3,Contenido Promedio
193,7.8,77,11.85579150332187,1.916922612182061,1,146,107.0,16,2,Joya de Critica
194,7.0,78,6.385194398997726,0.0,0,1,360.0,3,1,Nicho Subestimado
195,7.7,73,6.447305862541213,2.797281334830153,0,0,120.0,11,2,Joya de Critica
196,5.9,67,10.454696674697,4.446174454497633,0,22,94.0,9,3,Contenido Promedio
197,6.7,71,4.976733742420574,1.4816045409242156,0,0,111.0,22,3,Contenido Promedio
198,5.8,64,8.432506383249043,0.0,0,1,1080.0,3,1,Nicho Subestimado
199,7.7,81,10.47302538238145,0.0,2,55,270.0,1,2,Joya de Critica
200,6.1,66,9.382611592916636,2.186051276738094,0,19,123.0,10,3,Contenido Promedio
201,6.9,67,9.137877200242468,0.0,0,13,1620.0,20,1,Nicho Subestimado
202,7.2,80,8.98205864280585,1.1314021114911006,1,17,116.0,9,2,Joya de Critica
203,6.3,58,9.613603056529149,2.3978952727983707,0,8,135.0,3,3,Contenido Promedio
204,7.8,64,10.805090951658403,3.686376323895818,0,57,90.0,31,3,Contenido Promedio
205,6.3,67,8.057377488557991,1.840549633397487,0,7,117.0,10,3,Contenido Promedio
206,5.9,53,12.15338891124473,1.547562508716013,0,295,102.0,26,3,Contenido Promedio
207,5.7,61,9.234935418831563,0.0,0,8,3780.0,35,1,Nicho Subestimado
208,6.0,69,10.195298589071584,2.525728644308256,0,24,103.0,1,3,Contenido Promedio
209,6.8,67,9.134970064951409,3.8897773964808255,0,8,103.0,34,3,Contenido Promedio
210,7.5,78,10.037143937348802,0.0,0,32,540.0,16,2,Joya de Critica
211,4.9,53,10.029679577773887,3.763522997109702,0,29,102.0,24,3,Contenido Promedio
212,5.9,71,9.987552927653796,2.517696472610991,0,25,71.0,1,3,Contenido Promedio
213,7.3,60,7.878912912297133,2.0149030205422647,0,4,109.0,8,3,Contenido Promedio
214,7.9,80,8.087025470667701,2.4849066497880004,1,3,105.0,10,2,Joya de Critica
215,7.7,80,12.635856312539511,0.0,3,514,1080.0,2,2,Joya de Critica
216,6.5,57,11.38131223150161,2.19722457733622,0,132,116.0,14,3,Contenido Promedio
217,7.5,58,7.255591274253665,3.1354942159291497,0,2,116.0,5,3,Contenido Promedio
218,6.4,52,7.698936199813447,2.7013612129514133,0,3,60.0,13,3,Contenido Promedio
219,6.9,69,9.053569596026234,2.884800712846709,0,10,141.0,29,3,Contenido Promedio
220,6.7,59,12.629387494901133,3.265759410767051,0,141,92.0,7,3,Contenido Promedio
221,7.4,78,6.98100574072173,4.210645017918261,1,0,104.0,10,2,Joya de Critica
222,7.0,66,9.960104152955024,4.411585436915426,0,23,112.0,20,3,Contenido Promedio
223,7.9,68,12.568960747763963,3.32862668882732,3,529,132.0,6,2,Joya de Critica
224,7.2,65,9.431161227920748,0.0,0,12,1620.0,10,1,Nicho Subestimado
225,5.9,65,12.169979037881935,2.19722457733622,0,163,109.0,9,3,Contenido Promedio
226,7.4,81,9.028458718410612,0.0,0,4,540.0,5,2,Joya de Critica
227,4.9,49,8.6652683094816,0.0,0,7,1620.0,25,1,Nicho Subestimado
228,4.7,48,10.080545279654984,3.974058396347599,0,21,115.0,3,3,Contenido Promedio
229,4.9,59,8.575650760987806,0.0,0,10,1620.0,11,1,Nicho Subestimado
230,7.4,75,10.641392970437847,0.0,0,13,1080.0,20,1,Nicho Subestimado
231,7.7,79,8.37309184744198,4.447346100794524,0,2,93.0,8,3,Contenido Promedio
232,6.3,59,6.025865973825314,1.4586150226995167,0,0,103.0,5,3,Contenido Promedio
233,8.1,82,5.081404364984463,2.1041341542702074,0,0,123.0,5,2,Joya de Critica
234,5.3,56,6.837332814685591,2.388762789235098,0,1,139.0,6,3,Contenido Promedio
235,7.1,67,5.017279836814924,0.0,0,0,2700.0,5,1,Nicho Subestimado
236,5.1,55,9.50925907635395,3.317815772723105,0,6,51.0,7,3,Contenido Promedio
237,5.8,54,12.715381119005457,0.0,0,276,540.0,8,1,Nicho Subestimado
238,7.7,67,9.368625350941896,2.0014800002101243,0,16,89.0,11,3,Contenido Promedio
239,8.2,69,9.601638940166769,0.0,8,12,450.0,4,2,Joya de Critica
240,6.1,64,10.382265078333225,1.252762968495368,0,11,105.0,2,3,Contenido Promedio
241,6.3,60,9.038008749211576,0.0,0,10,360.0,0,1,Nicho Subestimado
242,4.6,45,9.685953239986429,2.4932054526026954,0,39,110.0,7,3,Contenido Promedio
243,4.8,46,10.62495490447336,2.714694743820879,0,84,122.0,45,3,Contenido Promedio
244,8.2,90,7.219642040130735,2.3513752571634776,0,2,106.0,14,2,Joya de Critica
245,5.8,49,11.886149710660174,3.005682604407159,0,162,124.0,12,3,Contenido Promedio
246,7.4,85,8.239593454305968,2.5572273113676265,0,3,132.0,9,2,Joya de Critica
247,6.4,62,9.07829359105585,3.996364153861897,0,5,95.0,6,3,Contenido Promedio
248,7.2,68,6.505784060128229,5.831882477283517,0,1,126.0,4,3,Contenido Promedio
249,8.3,88,8.542470998600505,3.8110970868381857,0,5,144.0,22,2,Joya de Critica
250,6.5,60,9.12641513703842,3.6082115510464816,0,11,133.0,10,3,Contenido Promedio
251,6.8,54,10.203147601747316,0.0,0,18,360.0,3,1,Nicho Subestimado
252,6.5,66,8.181720455128108,2.174751721484161,0,2,82.0,5,3,Contenido Promedio
253,8.1,82,6.977281341630747,0.0,2,0,270.0,8,2,Joya de Critica
254,6.4,55,8.617400451833262,3.214867803470662,0,9,141.0,7,3,Contenido Promedio
255,6.5,71,14.665904192921236,4.00369019395397,0,2770,98.0,0,0,Blockbuster Costoso
256,5.9,63,11.408708739379522,0.0,0,34,720.0,6,1,Nicho Subestimado
257,4.8,44,8.438799123988225,2.4849066497880004,0,6,109.0,8,3,Contenido Promedio
258,8.2,86,6.342121418721152,3.55820113047182,0,1,84.0,2,2,Joya de Critica
259,8.4,74,5.293304824724492,3.8918202981106265,0,0,128.0,1,2,Joya de Critica
260,7.3,77,11.057266457917814,3.370738174177447,0,30,112.0,4,3,Contenido Promedio
261,7.0,78,11.507390173471553,0.0,0,64,990.0,8,1,Nicho Subestimado
262,8.0,77,5.2832037287379885,3.754198920234579,0,0,114.0,4,2,Joya de Critica
263,6.3,75,10.17861615891629,3.190476350346503,0,22,110.0,43,3,Contenido Promedio
264,6.6,73,9.934016757570951,1.9878743481543453,0,35,105.0,43,3,Contenido Promedio
265,9.2,89,10.348910281701418,0.0,0,14,4320.0,0,1,Nicho Subestimado
266,4.6,42,4.442651256490317,0.0,0,0,1440.0,35,1,Nicho Subestimado
267,6.1,51,6.118097198041348,3.1179499062782403,0,0,118.0,6,3,Contenido Promedio
268,6.4,60,8.881697406469304,0.0,0,9,2160.0,4,1,Nicho Subestimado
269,9.6,99,9.146761390333312,0.0,0,14,1080.0,6,2,Joya de Critica
270,9.8,88,8.431853144249223,1.4586150226995167,2,8,114.0,5,2,Joya de Critica
271,5.8,63,11.982253866300896,0.0,0,329,1980.0,13,1,Nicho Subestimado
272,4.5,38,7.717351272185329,3.2308043957334744,0,2,117.0,9,3,Contenido Promedio
273,7.9,76,10.265801566988308,3.933784497209659,0,19,61.0,4,2,Joya de Critica
274,8.3,99,6.835184586147301,2.360854001118021,1,1,83.0,10,2,Joya de Critica
275,7.2,77,8.14902386805177,0.0,0,1,360.0,13,1,Nicho Subestimado
276,5.1,60,10.96714601194071,0.0,0,127,540.0,25,1,Nicho Subestimado
277,7.5,78,7.389563953677635,3.2347491740244907,0,3,110.0,9,2,Joya de Critica
278,9.2,97,11.365016929029292,1.916922612182061,0,89,97.0,6,2,Joya de Critica
279,6.9,61,8.349957272040324,1.410986973710262,0,1,101.0,23,3,Contenido Promedio
280,7.0,73,6.618738983517219,2.6100697927420065,0,1,84.0,4,3,Contenido Promedio
281,5.5,46,10.82637646843851,0.0,0,81,1440.0,10,1,Nicho Subestimado
282,7.9,90,10.674960583197336,0.0,0,106,1800.0,17,2,Joya de Critica
283,6.5,79,10.087723941534854,0.0,0,17,360.0,4,1,Nicho Subestimado
284,5.6,55,9.082961442646353,0.0,0,17,540.0,5,1,Nicho Subestimado
285,6.6,69,8.997147151515142,2.0014800002101243,0,18,86.0,15,3,Contenido Promedio
286,5.9,57,4.718498871295094,1.9459101490553128,0,0,129.0,0,3,Contenido Promedio
287,7.7,76,6.648984550024776,2.917770732084279,0,1,97.0,0,2,Joya de Critica
288,6.4,63,6.71901315438526,1.8562979903656265,0,0,91.0,41,3,Contenido Promedio
289,6.8,76,9.374922172292129,4.597138014290827,0,13,131.0,5,3,Contenido Promedio
290,7.8,96,10.89008762230828,2.923161580719156,0,33,93.0,3,2,Joya de Critica
291,8.5,77,7.349230824613334,0.0,1,2,450.0,6,2,Joya de Critica
292,6.9,74,11.432290081699202,1.7404661748405046,0,164,117.0,4,3,Contenido Promedio
293,8.9,85,7.646831391430482,2.8507065015037334,0,1,116.0,5,2,Joya de Critica
294,5.8,67,9.531336323457896,2.917770732084279,0,33,96.0,7,3,Contenido Promedio
295,8.7,90,10.554014247259431,0.0,0,12,270.0,4,2,Joya de Critica
296,6.3,70,9.876013575535373,3.543853682063679,0,37,76.0,2,3,Contenido Promedio
297,4.6,51,10.767747876315898,4.960744524482791,0,85,69.0,2,3,Contenido Promedio
298,7.3,79,8.918917979908679,1.6863989535702288,0,5,107.0,2,2,Joya de Critica
299,6.6,62,12.192825285444544,0.0,0,489,450.0,11,1,Nicho Subestimado
300,6.0,67,9.019179866515024,3.686376323895818,0,3,68.0,35,3,Contenido Promedio
301,6.8,64,8.415824697027949,4.502029427068578,0,4,133.0,15,3,Contenido Promedio
302,6.6,76,8.570923513837204,0.0,0,5,2160.0,16,1,Nicho Subestimado
303,3.6,26,7.293017679772782,0.0,0,0,360.0,6,1,Nicho Subestimado
304,6.5,63,9.92260366972836,2.89591193827178,0,32,131.0,10,3,Contenido Promedio
305,6.3,61,11.379314069145536,3.131136910560194,0,51,126.0,20,3,Contenido Promedio
306,7.9,64,7.803435056952168,3.632309102625542,5,1,94.0,6,2,Joya de Critica
307,7.8,85,8.442469645220301,2.128231705849268,3,8,151.0,13,2,Joya de Critica
308,8.0,85,9.38697914563464,1.410986973710262,0,8,80.0,22,2,Joya de Critica
309,6.8,60,8.668024081118821,0.0,0,11,1800.0,29,1,Nicho Subestimado
310,8.5,80,9.45226642258976,0.0,1,22,1350.0,41,2,Joya de Critica
311,8.3,84,9.691901950055648,1.589235205116581,0,26,86.0,2,2,Joya de Critica
312,7.9,71,9.358674166481876,0.0,1,19,1800.0,9,1,Nicho Subestimado
313,6.9,79,8.339978571990427,0.0,0,9,270.0,5,1,Nicho Subestimado
314,7.2,55,9.625293657956655,4.485259889315534,0,34,132.0,6,3,Contenido Promedio
